date,symbol,open,high,low,close,network,SMA_10,SMA_50,RSI,MACD,MACD_Signal,Log_Return,Volatility
2020-01-02,BTCUSDT,7200.77,7212.5,6924.74,6965.71,Bitcoin,7222.931,7418.5562,43.315589353612154,-72.85583377795956,-80.8159710371581,-0.033199534310396885,0.030460216206276442
2020-01-03,BTCUSDT,6965.49,7405.0,6871.04,7344.96,Bitcoin,7231.85,7392.5218,54.56118248793884,-55.868364364418994,-75.82644970261029,0.05301482343029991,0.032208804759765466
2020-01-04,BTCUSDT,7345.0,7404.0,7272.21,7354.11,Bitcoin,7246.798,7370.169400000001,56.60169157908549,-41.192502409486224,-68.89966024398548,0.0012449768838231309,0.03218056876529784
2020-01-05,BTCUSDT,7354.19,7495.0,7318.0,7358.75,Bitcoin,7262.473,7347.524,44.56414906018334,-28.85474728913232,-60.89067765301485,0.000630740747051131,0.031174846179743525
2020-01-06,BTCUSDT,7357.64,7795.34,7346.76,7758.0,Bitcoin,7312.799000000001,7332.6359999999995,64.43344528902243,12.989416948058533,-46.11465873280017,0.05283448765744147,0.03133097815252186
2020-01-07,BTCUSDT,7758.9,8207.68,7723.71,8145.28,Bitcoin,7395.713000000001,7331.798199999999,73.99735613888362,76.51940981824464,-21.58784502259121,0.04871404936371501,0.025927891473010223
2020-01-08,BTCUSDT,8145.92,8455.0,7870.0,8055.98,Bitcoin,7462.486999999999,7330.245,72.5045069811949,118.2979579664725,6.389315575221531,-0.011023945589959614,0.025654289357578977
2020-01-09,BTCUSDT,8054.72,8055.96,7750.0,7817.76,Bitcoin,7519.662999999999,7324.64,64.47416670584363,130.67900898897096,31.24725425797142,-0.03001660428030768,0.026888246407791652
2020-01-10,BTCUSDT,7817.74,8199.0,7672.0,8197.02,Bitcoin,7619.842,7336.025599999999,69.20183239458433,169.14440213777743,58.82668383393263,0.04737260507373657,0.028383988223422967
2020-01-11,BTCUSDT,8198.86,8286.34,8003.16,8020.01,Bitcoin,7701.758,7351.0612,63.6980729634949,183.23307879695312,83.70796282653673,-0.02183100482452105,0.02713286055830027
2020-01-12,BTCUSDT,8020.01,8197.0,7960.0,8184.98,Bitcoin,7823.685,7368.529399999999,64.96450170917696,205.343089526541,108.03498816653759,0.02036109856547728,0.026535299143067008
2020-01-13,BTCUSDT,8184.97,8196.0,8055.89,8110.34,Bitcoin,7900.223,7392.6706,66.65715937560225,214.37146728303742,129.30228398983758,-0.009160976526190662,0.02655653895559057
